Year,Region,Sectors,Sub-Sectors,Unit of measurement,Value
2020,,,,Proportion of working age population (15-65),46.3
2020,,"Agriculture, Forestry and Fishery",,Proportion of working age population (15-65),37.3
2020,Port Vila,"Agriculture, Forestry and Fishery",,Proportion of working age population (15-65),3.6
2020,Luganville,"Agriculture, Forestry and Fishery",,Proportion of working age population (15-65),10.4
2020,Torba,"Agriculture, Forestry and Fishery",,Proportion of working age population (15-65),61.4
2020,Sanma,"Agriculture, Forestry and Fishery",,Proportion of working age population (15-65),62.7
2020,Penama,"Agriculture, Forestry and Fishery",,Proportion of working age population (15-65),69.7
2020,Malampa,"Agriculture, Forestry and Fishery",,Proportion of working age population (15-65),71.7
2020,Shefa,"Agriculture, Forestry and Fishery",,Proportion of working age population (15-65),36.4
2020,Tafea,"Agriculture, Forestry and Fishery",,Proportion of working age population (15-65),52.4
2020,,Industry,,Proportion of working age population (15-65),8.9
2020,Port Vila,Industry,,Proportion of working age population (15-65),12.1
2020,Luganville,Industry,,Proportion of working age population (15-65),14.6
2020,Torba,Industry,,Proportion of working age population (15-65),8.1
2020,Sanma,Industry,,Proportion of working age population (15-65),3
2020,Penama,Industry,,Proportion of working age population (15-65),5.8
2020,Malampa,Industry,,Proportion of working age population (15-65),2.6
2020,Shefa,Industry,,Proportion of working age population (15-65),10.1
2020,Tafea,Industry,,Proportion of working age population (15-65),11.1
2020,,Industry,Manufacturing,Proportion of working age population (15-65),4.5
2020,Port Vila,Industry,Manufacturing,Proportion of working age population (15-65),6.2
2020,Luganville,Industry,Manufacturing,Proportion of working age population (15-65),8.6
2020,Torba,Industry,Manufacturing,Proportion of working age population (15-65),3.9
2020,Sanma,Industry,Manufacturing,Proportion of working age population (15-65),1.6
2020,Penama,Industry,Manufacturing,Proportion of working age population (15-65),3.1
2020,Malampa,Industry,Manufacturing,Proportion of working age population (15-65),1.4
2020,Shefa,Industry,Manufacturing,Proportion of working age population (15-65),56.5
2020,Tafea,Industry,Manufacturing,Proportion of working age population (15-65),3.1
